SALONES,ID,NAME,POPULATION,POP_DENS,PPIDX_CY,PPPC_CY,REGION
0,2807902035,Madrid,1012,101200,1576,2397265,Madrid
0,2807902036,Madrid,918,45900,1394,2120562,Madrid
0,2807902037,Madrid,1234,411333,1578,2400276,Madrid
0,2807902038,Madrid,1013,50650,1281,1947389,Madrid
0,2807902039,Madrid,743,74300,1659,2523529,Madrid
0,2807902040,Madrid,1769,88450,140,2129573,Madrid
0,2807902041,Madrid,2032,677333,1443,2194064,Madrid
1,2807902042,Madrid,1851,61700,1453,2209423,Madrid
0,2807902043,Madrid,998,99800,1448,2201875,Madrid
1,2807902044,Madrid,1793,597667,1403,2132887,Madrid
1,2807902045,Madrid,1159,57950,1375,2091508,Madrid
0,2807902046,Madrid,1339,66950,913,1388134,Madrid
0,2807902047,Madrid,1589,58852,1113,1692328,Madrid
1,2807902048,Madrid,1205,60250,1544,2347263,Madrid
0,2807902049,Madrid,1710,28500,1716,2609622,Madrid
0,2807902050,Madrid,1613,537667,1373,2088433,Madrid
0,2807902051,Madrid,1906,158833,1743,2650413,Madrid
0,2807902052,Madrid,1486,29720,177,2691336,Madrid
0,2807902053,Madrid,1656,27600,1669,253765,Madrid
0,2807902054,Madrid,1235,61750,118,179445,Madrid
1,2807902055,Madrid,1222,61100,1438,2187476,Madrid
0,2807902056,Madrid,1081,54050,1553,2361442,Madrid
0,2807902057,Madrid,1543,77150,1232,1872991,Madrid
0,2807902058,Madrid,1617,80850,1361,206954,Madrid
1,2807902059,Madrid,734,73400,1522,2314944,Madrid
1,2807902060,Madrid,1338,66900,1659,2522325,Madrid
0,2807902061,Madrid,899,44950,1716,2609568,Madrid
0,2807902062,Madrid,1018,50900,1396,2122933,Madrid
0,2807902063,Madrid,1628,40700,1656,2519025,Madrid
0,2807902064,Madrid,1711,570333,1647,2504441,Madrid
0,2807902065,Madrid,1620,54000,1548,2354304,Madrid
0,2807902066,Madrid,2600,433333,1923,2924098,Madrid
0,2807902067,Madrid,1493,248833,1294,1967431,Madrid
0,2807902068,Madrid,1128,56400,1157,1760073,Madrid
1,2807902069,Madrid,889,44450,1394,2120466,Madrid
1,2807902070,Madrid,1348,33700,162,24638,Madrid
0,2807902071,Madrid,1457,29140,176,2676815,Madrid
2,2807902072,Madrid,1696,242286,1641,2495632,Madrid
1,2807902073,Madrid,1811,36220,1539,2340448,Madrid
1,2807902074,Madrid,1775,44375,1622,2466035,Madrid
0,2807902075,Madrid,1961,653667,1494,2271921,Madrid
0,2807902077,Madrid,1145,57250,1256,190984,Madrid
0,2807902078,Madrid,852,85200,1521,2312641,Madrid
0,2807902079,Madrid,1233,61650,1527,2321832,Madrid
0,2807902080,Madrid,951,19020,1837,27941,Madrid
0,2807902081,Madrid,1117,55850,1462,2223842,Madrid
1,2807902082,Madrid,1220,406667,1391,2115657,Madrid
1,2807902083,Madrid,1420,16706,1443,2193938,Madrid
